loaded 130765
[counter] model=claude-opus-4-7 baseline(§§)=13
[mega] resume: 0 already done, 130765 pending
[mega] 78000/130765 hits=56 rpm~2992 conc=300 inflight=0 429=1
[mega] 78500/130765 hits=56 rpm~2991 conc=300 inflight=226 429=1
[mega] 79000/130765 hits=56 rpm~2990 conc=300 inflight=218 429=1
[mega] 79500/130765 hits=56 rpm~2989 conc=300 inflight=269 429=1
[mega] 80000/130765 hits=56 rpm~2989 conc=300 inflight=0 429=1
[mega] 80500/130765 hits=56 rpm~2985 conc=300 inflight=299 429=1
[mega] 81000/130765 hits=56 rpm~2987 conc=300 inflight=299 429=1
[mega] 81500/130765 hits=56 rpm~2991 conc=300 inflight=240 429=1
[mega] 82000/130765 hits=56 rpm~2991 conc=300 inflight=218 429=1
[mega] 82500/130765 hits=56 rpm~2989 conc=300 inflight=269 429=1
[mega] 83000/130765 hits=56 rpm~2992 conc=300 inflight=0 429=1
[mega] 83500/130765 hits=56 rpm~2986 conc=300 inflight=296 429=1
[mega] 84000/130765 hits=56 rpm~2988 conc=300 inflight=259 429=1
[mega] 84500/130765 hits=58 rpm~2991 conc=300 inflight=252 429=1
[mega] 85000/130765 hits=58 rpm~2977 conc=300 inflight=0 429=1
[mega] 85500/130765 hits=58 rpm~2979 conc=300 inflight=299 429=1
[mega] 86000/130765 hits=63 rpm~2981 conc=300 inflight=299 429=1
[mega] 86500/130765 hits=72 rpm~2983 conc=300 inflight=268 429=1
[mega] 87000/130765 hits=74 rpm~2984 conc=300 inflight=285 429=1
[mega] 87500/130765 hits=74 rpm~2986 conc=300 inflight=221 429=1
[mega] 88000/130765 hits=74 rpm~2988 conc=300 inflight=0 429=1
[mega] 88500/130765 hits=74 rpm~2979 conc=300 inflight=298 429=1
[mega] 89000/130765 hits=74 rpm~2981 conc=300 inflight=296 429=1
[mega] 89500/130765 hits=74 rpm~2983 conc=300 inflight=298 429=1
[mega] 90000/130765 hits=74 rpm~2985 conc=300 inflight=0 429=1
[mega] 90500/130765 hits=84 rpm~2980 conc=300 inflight=299 429=1
[mega] 91000/130765 hits=99 rpm~2983 conc=300 inflight=0 429=1
[mega] 91500/130765 hits=100 rpm~2977 conc=300 inflight=299 429=1
[mega] 92000/130765 hits=101 rpm~2978 conc=300 inflight=299 429=1
[mega] 92500/130765 hits=104 rpm~2980 conc=300 inflight=298 429=1
[mega] 93000/130765 hits=107 rpm~2983 conc=300 inflight=286 429=1
[mega] 93500/130765 hits=109 rpm~2985 conc=300 inflight=189 429=1
[mega] 94000/130765 hits=110 rpm~2988 conc=300 inflight=0 429=1
