PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
`rope_parameters`'s factor field must be a float >= 1, got 40
`rope_parameters`'s beta_fast field must be a float, got 32
`rope_parameters`'s beta_slow field must be a float, got 1
already probed: 908800
tiktoken cl100k_base: +99479
tiktoken o200k_base: +114048
tiktoken gpt2: +5337
tiktoken r50k_base: +0
tiktoken p50k_base: +0
hf Qwen/Qwen2.5-0.5B: +37111
hf bigscience/bloom: +143610
hf facebook/mbart-large-50: +165028
hf google/mt5-base: +92365
hf xlm-roberta-base: +0
hf baichuan-inc/Baichuan2-7B-Base: +45268
hf deepseek-ai/DeepSeek-V2-Lite: +13141
[hf] skip Salesforce/codet5p-220m: Input must be a List[Union[str, AddedToken]]
hf Salesforce/codet5p-220m: +0
hf EleutherAI/gpt-neox-20b: +2335
hf microsoft/deberta-v3-base: +59978
hf sentence-transformers/LaBSE: +312857
total unique: 1090557, NEW: 887622
[counter] model=claude-opus-4-7 baseline(§§)=13
[full] resume: 0 already done, 887622 pending
[full] 324000/887622 hits=224 rpm~2422 conc=300 inflight=34 429=1021
[full] 326000/887622 hits=224 rpm~2424 conc=300 inflight=20 429=1021
[full] 328000/887622 hits=227 rpm~2430 conc=300 inflight=103 429=1021
[full] 330000/887622 hits=228 rpm~2418 conc=20 inflight=0 429=1042
[full] 332000/887622 hits=230 rpm~2422 conc=58 inflight=15 429=1042
[full] 334000/887622 hits=232 rpm~2425 conc=175 inflight=42 429=1042
[full] 336000/887622 hits=235 rpm~2426 conc=300 inflight=0 429=1042
[full] 338000/887622 hits=236 rpm~2430 conc=300 inflight=0 429=1042
[full] 340000/887622 hits=239 rpm~2433 conc=300 inflight=0 429=1042
[full] 342000/887622 hits=240 rpm~2434 conc=300 inflight=20 429=1042
[full] 344000/887622 hits=244 rpm~2438 conc=300 inflight=0 429=1042
[full] 346000/887622 hits=246 rpm~2441 conc=300 inflight=0 429=1042
[full] 348000/887622 hits=248 rpm~2442 conc=71 inflight=13 429=1049
[full] 350000/887622 hits=250 rpm~2446 conc=213 inflight=0 429=1049
[full] 352000/887622 hits=250 rpm~2448 conc=300 inflight=130 429=1049
[full] 354000/887622 hits=252 rpm~2450 conc=300 inflight=13 429=1049
[full] 356000/887622 hits=255 rpm~2453 conc=300 inflight=0 429=1049
[full] 358000/887622 hits=255 rpm~2442 conc=16 inflight=15 429=1072
[full] 360000/887622 hits=259 rpm~2448 conc=47 inflight=0 429=1072
[full] 362000/887622 hits=260 rpm~2447 conc=140 inflight=24 429=1072
[full] 364000/887622 hits=262 rpm~2449 conc=300 inflight=16 429=1072
[full] 366000/887622 hits=264 rpm~2453 conc=300 inflight=207 429=1072
[full] 368000/887622 hits=266 rpm~2455 conc=300 inflight=0 429=1072
[full] 370000/887622 hits=267 rpm~2456 conc=300 inflight=0 429=1072
[full] 372000/887622 hits=270 rpm~2458 conc=4 inflight=3 429=1111
