known: 13192, probed: 753009
productive short tokens: 2726
pair candidates: 500000
top 30: [' itemsnative', ' itemsbig ', ' itemsreview', ' itemsusing', ' itemsamong ', ' itemstitle ', ' itemsmade ', ' itemsjoin ', ' itemsmuch', ' itemsimages', ' itemslen', ' itemsindex ', ' itemsnew ', ' itemsel ', ' itemsmed ', ' itemslabel ', ' itemsnone', ' itemsIf', ' itemsmath', ' itemse ', ' itemsfew ', ' itemsown ', ' itemsgood ', ' itemsio ', ' itemsII', ' itemspoint ', ' itemscourse', ' itemsthose', ' itemsFrom', ' itemsList']
[counter] model=claude-opus-4-7 baseline(§§)=13
[pair] resume: 0 already done, 500000 pending
[pair] 98500/500000 hits=4 rpm~2768 conc=31 inflight=30 429=249
[pair] 99000/500000 hits=4 rpm~2776 conc=47 inflight=46 429=249
[pair] 99500/500000 hits=4 rpm~2769 conc=58 inflight=8 429=249
[pair] 100000/500000 hits=4 rpm~2763 conc=72 inflight=0 429=249
[pair] 100500/500000 hits=4 rpm~2764 conc=90 inflight=28 429=249
[pair] 101000/500000 hits=4 rpm~2768 conc=140 inflight=26 429=249
[pair] 101500/500000 hits=4 rpm~2774 conc=175 inflight=41 429=249
[pair] 102000/500000 hits=4 rpm~2780 conc=218 inflight=176 429=249
[pair] 102500/500000 hits=4 rpm~2775 conc=272 inflight=6 429=249
[pair] 103000/500000 hits=4 rpm~2769 conc=300 inflight=29 429=249
[pair] 103500/500000 hits=4 rpm~2771 conc=300 inflight=19 429=249
[pair] 104000/500000 hits=4 rpm~2775 conc=300 inflight=23 429=249
[pair] 104500/500000 hits=4 rpm~2780 conc=300 inflight=30 429=249
[pair] 105000/500000 hits=4 rpm~2788 conc=300 inflight=0 429=249
[pair] 105500/500000 hits=4 rpm~2781 conc=300 inflight=8 429=249
[pair] 106000/500000 hits=4 rpm~2775 conc=300 inflight=28 429=249
[pair] 106500/500000 hits=4 rpm~2777 conc=300 inflight=28 429=249
[pair] 107000/500000 hits=4 rpm~2780 conc=300 inflight=23 429=249
[pair] 107500/500000 hits=4 rpm~2786 conc=300 inflight=36 429=249
[pair] 108000/500000 hits=4 rpm~2759 conc=4 inflight=3 429=271
[pair] 108500/500000 hits=4 rpm~2745 conc=12 inflight=11 429=271
[pair] 109000/500000 hits=4 rpm~2742 conc=16 inflight=15 429=271
[pair] 109500/500000 hits=4 rpm~2744 conc=20 inflight=19 429=271
[pair] 110000/500000 hits=4 rpm~2748 conc=25 inflight=0 429=271
[pair] 110500/500000 hits=4 rpm~2754 conc=38 inflight=37 429=271
[pair] 111000/500000 hits=4 rpm~2761 conc=47 inflight=38 429=271
[pair] 111500/500000 hits=4 rpm~2751 conc=58 inflight=13 429=271
[pair] 112000/500000 hits=4 rpm~2749 conc=72 inflight=16 429=271
[pair] 112500/500000 hits=4 rpm~2750 conc=112 inflight=20 429=271
[pair] 113000/500000 hits=4 rpm~2754 conc=140 inflight=0 429=271
[pair] 113500/500000 hits=4 rpm~2760 conc=175 inflight=42 429=271
[pair] 114000/500000 hits=4 rpm~2767 conc=218 inflight=37 429=271
[pair] 114500/500000 hits=4 rpm~2757 conc=300 inflight=13 429=271
[pair] 115000/500000 hits=4 rpm~2754 conc=300 inflight=0 429=271
[pair] 115500/500000 hits=4 rpm~2756 conc=300 inflight=22 429=271
[pair] 116000/500000 hits=4 rpm~2760 conc=300 inflight=0 429=271
[pair] 116500/500000 hits=4 rpm~2745 conc=4 inflight=3 429=300
[pair] 117000/500000 hits=4 rpm~2724 conc=8 inflight=7 429=300
[pair] 117500/500000 hits=4 rpm~2719 conc=16 inflight=15 429=300
[pair] 118000/500000 hits=4 rpm~2720 conc=20 inflight=19 429=300
[pair] 118500/500000 hits=4 rpm~2724 conc=25 inflight=24 429=300
[pair] 119000/500000 hits=4 rpm~2729 conc=31 inflight=30 429=300
[pair] 119500/500000 hits=4 rpm~2736 conc=47 inflight=46 429=300
[pair] 120000/500000 hits=4 rpm~2730 conc=58 inflight=0 429=300
[pair] 120500/500000 hits=4 rpm~2726 conc=72 inflight=17 429=300
[pair] 121000/500000 hits=4 rpm~2726 conc=90 inflight=22 429=300
[pair] 121500/500000 hits=4 rpm~2730 conc=140 inflight=23 429=300
[pair] 122000/500000 hits=4 rpm~2735 conc=175 inflight=35 429=300
[pair] 122500/500000 hits=4 rpm~2741 conc=218 inflight=78 429=300
[pair] 123000/500000 hits=4 rpm~2736 conc=272 inflight=11 429=300
[pair] 123500/500000 hits=4 rpm~2732 conc=300 inflight=11 429=300
[pair] 124000/500000 hits=4 rpm~2733 conc=300 inflight=20 429=300
[pair] 124500/500000 hits=4 rpm~2736 conc=300 inflight=27 429=300
[pair] 125000/500000 hits=4 rpm~2741 conc=300 inflight=0 429=300
[pair] 125500/500000 hits=4 rpm~2743 conc=300 inflight=244 429=300
[pair] 126000/500000 hits=4 rpm~2742 conc=300 inflight=10 429=300
[pair] 126500/500000 hits=6 rpm~2730 conc=4 inflight=3 429=321
[pair] 127000/500000 hits=6 rpm~2704 conc=8 inflight=7 429=321
[pair] 127500/500000 hits=6 rpm~2696 conc=12 inflight=11 429=321
[pair] 128000/500000 hits=6 rpm~2695 conc=20 inflight=19 429=321
[pair] 128500/500000 hits=6 rpm~2697 conc=25 inflight=24 429=321
[pair] 129000/500000 hits=6 rpm~2702 conc=31 inflight=30 429=321
[pair] 129500/500000 hits=6 rpm~2707 conc=38 inflight=37 429=321
[pair] 130000/500000 hits=6 rpm~2678 conc=8 inflight=0 429=342
[pair] 130500/500000 hits=6 rpm~2671 conc=12 inflight=11 429=342
[pair] 131000/500000 hits=6 rpm~2670 conc=16 inflight=15 429=342
[pair] 131500/500000 hits=6 rpm~2672 conc=20 inflight=19 429=342
[pair] 132000/500000 hits=6 rpm~2676 conc=31 inflight=29 429=342
[pair] 132500/500000 hits=6 rpm~2681 conc=38 inflight=37 429=342
[pair] 133000/500000 hits=6 rpm~2665 conc=4 inflight=3 429=375
[pair] 133500/500000 hits=6 rpm~2651 conc=8 inflight=7 429=375
[pair] 134000/500000 hits=6 rpm~2649 conc=16 inflight=15 429=375
[pair] 134500/500000 hits=6 rpm~2650 conc=20 inflight=19 429=375
[pair] 135000/500000 hits=6 rpm~2653 conc=25 inflight=0 429=375
[pair] 135500/500000 hits=6 rpm~2658 conc=31 inflight=30 429=375
[pair] 136000/500000 hits=6 rpm~2646 conc=4 inflight=3 429=399
[pair] 136500/500000 hits=6 rpm~2630 conc=8 inflight=7 429=399
[pair] 137000/500000 hits=6 rpm~2627 conc=16 inflight=15 429=399
[pair] 137500/500000 hits=6 rpm~2628 conc=20 inflight=19 429=399
[pair] 138000/500000 hits=6 rpm~2631 conc=25 inflight=24 429=399
[pair] 138500/500000 hits=6 rpm~2636 conc=31 inflight=30 429=399
[pair] 139000/500000 hits=6 rpm~2637 conc=4 inflight=3 429=422
[pair] 139500/500000 hits=6 rpm~2615 conc=8 inflight=7 429=422
[pair] 140000/500000 hits=6 rpm~2609 conc=12 inflight=0 429=422
[pair] 140500/500000 hits=6 rpm~2609 conc=16 inflight=15 429=422
[pair] 141000/500000 hits=6 rpm~2611 conc=25 inflight=24 429=422
[pair] 141500/500000 hits=6 rpm~2615 conc=31 inflight=30 429=422
[pair] 142000/500000 hits=6 rpm~2620 conc=38 inflight=37 429=422
[pair] 142500/500000 hits=6 rpm~2597 conc=8 inflight=7 429=452
[pair] 143000/500000 hits=6 rpm~2591 conc=12 inflight=11 429=452
[pair] 143500/500000 hits=6 rpm~2590 conc=16 inflight=15 429=452
[pair] 144000/500000 hits=6 rpm~2592 conc=20 inflight=19 429=452
[pair] 144500/500000 hits=6 rpm~2595 conc=31 inflight=30 429=452
[pair] 145000/500000 hits=6 rpm~2598 conc=38 inflight=0 429=452
[pair] 145500/500000 hits=6 rpm~2573 conc=8 inflight=7 429=483
[pair] 146000/500000 hits=6 rpm~2567 conc=12 inflight=11 429=483
[pair] 146500/500000 hits=6 rpm~2566 conc=16 inflight=15 429=483
[pair] 147000/500000 hits=6 rpm~2568 conc=20 inflight=19 429=483
[pair] 147500/500000 hits=6 rpm~2571 conc=31 inflight=30 429=483
[pair] 148000/500000 hits=6 rpm~2576 conc=38 inflight=37 429=483
