known=13239 already=1087345
total unique candidates: 106080
[counter] model=claude-opus-4-7 baseline(§§)=13
[brute_full] resume: 0 already done, 106080 pending
[brute_full] 86000/106080 hits=127 rpm~1911 conc=4 inflight=3 429=630
[brute_full] 86500/106080 hits=127 rpm~1899 conc=8 inflight=7 429=630
[brute_full] 87000/106080 hits=127 rpm~1899 conc=16 inflight=15 429=630
[brute_full] 87500/106080 hits=127 rpm~1903 conc=20 inflight=19 429=630
[brute_full] 88000/106080 hits=128 rpm~1908 conc=25 inflight=22 429=630
[brute_full] 88500/106080 hits=128 rpm~1915 conc=31 inflight=30 429=630
[brute_full] 89000/106080 hits=128 rpm~1922 conc=47 inflight=46 429=630
[brute_full] 89500/106080 hits=128 rpm~1908 conc=4 inflight=3 429=664
[brute_full] 90000/106080 hits=128 rpm~1903 conc=12 inflight=0 429=664
[brute_full] 90500/106080 hits=128 rpm~1905 conc=16 inflight=15 429=664
[brute_full] 91000/106080 hits=128 rpm~1909 conc=20 inflight=19 429=664
[brute_full] 91500/106080 hits=128 rpm~1914 conc=25 inflight=23 429=664
[brute_full] 92000/106080 hits=128 rpm~1921 conc=38 inflight=37 429=664
[brute_full] 92500/106080 hits=128 rpm~1927 conc=4 inflight=3 429=701
[brute_full] 93000/106080 hits=128 rpm~1908 conc=8 inflight=7 429=701
[brute_full] 93500/106080 hits=128 rpm~1906 conc=12 inflight=11 429=701
[brute_full] 94000/106080 hits=128 rpm~1909 conc=16 inflight=15 429=701
[brute_full] 94500/106080 hits=128 rpm~1913 conc=25 inflight=24 429=701
[brute_full] 95000/106080 hits=128 rpm~1919 conc=31 inflight=0 429=701
[brute_full] 95500/106080 hits=128 rpm~1926 conc=38 inflight=37 429=701
[brute_full] 96000/106080 hits=128 rpm~1921 conc=4 inflight=3 429=737
[brute_full] 96500/106080 hits=128 rpm~1912 conc=8 inflight=7 429=737
[brute_full] 97000/106080 hits=128 rpm~1912 conc=16 inflight=15 429=737
[brute_full] 97500/106080 hits=129 rpm~1915 conc=20 inflight=19 429=737
[brute_full] 98000/106080 hits=130 rpm~1920 conc=25 inflight=24 429=737
[brute_full] 98500/106080 hits=132 rpm~1926 conc=31 inflight=30 429=737
[brute_full] 99000/106080 hits=132 rpm~1931 conc=4 inflight=3 429=762
[brute_full] 99500/106080 hits=132 rpm~1916 conc=8 inflight=7 429=762
[brute_full] 100000/106080 hits=132 rpm~1914 conc=12 inflight=0 429=762
